x,y
-11,988038,-4,643781
-5,802167,-0,545531
7,634842,-9,953984
-10,442531,1,598623
-14,983803,13,331814
-12,267861,-13,232790
24,338711,-0,813431
-2,389646,-6,734935
13,656740,17,493807
11,253318,-10,934028
-18,865505,8,924006
-8,126047,-12,670841
-1,864822,4,307168
-9,324105,-13,526978
4,018090,-1,122893
-1,385068,6,550542
0,133860,-6,793522
11,257674,-10,696970
-12,117636,-13,582730
-14,114387,12,008223
17,715305,6,880729
8,597566,-10,966455
1,954206,4,519253
-5,997270,2,950699
18,529564,-3,309909
2,698952,14,117879
13,555160,20,553474
-8,686331,4,029034
6,919703,-9,394736
18,601879,-15,877101
-0,104888,-4,164145
-11,095458,-15,245356
-8,117982,-0,723242
10,377814,17,523420
-4,448063,-16,923065
1,083959,-4,446036
17,438293,-16,448626
-16,252348,4,619579
-20,289719,18,793318
-11,840590,-0,726486
-18,334667,6,450872
-11,190626,-11,936293
-15,806034,8,098099
-3,722068,-15,987830
-8,525468,-1,923071
0,927649,4,943910
-16,310884,-8,673727
-15,294580,8,028090
-1,320485,-16,275318
0,148336,-17,578663
-0,099075,-5,050836
-15,849047,18,124500
20,815821,5,652767
-8,353193,4,039908
-0,588444,6,773981
11,510826,16,896538
-15,456554,-8,968460
0,617398,-17,914248
-5,767894,-17,735765
6,697693,1,018533
16,731998,-16,738037
-3,535647,4,643923
-1,237267,6,695888
11,302461,-7,337195
-3,045152,-7,653572
-1,424324,-3,382431
15,037740,16,410555
4,462235,15,969275
-1,980775,3,635171
-7,790579,-4,714297
11,644655,0,165859
1,141534,12,779106
-8,534647,-14,995749
-14,752492,13,633692
18,025936,8,461886
8,962569,-9,955615
-19,664164,-3,016875
-3,750397,-12,749086
-7,384644,20,671629
-11,561816,-11,930971
-15,993223,6,072159
8,754440,-10,090311
-15,839252,11,416427
22,050854,-14,091053
5,383961,16,244823
-15,441314,13,228420
-1,365391,2,783478
7,922245,-9,916767
0,443902,-17,765518
-12,274660,9,728226
-2,404636,7,802112
11,880504,-10,240587
-14,157576,-10,513023
24,721937,-2,394047
13,731082,17,989603
1,809566,2,655072
9,189565,-3,452317
-5,787661,22,153297
-6,945483,-11,980628
-10,125124,0,171757
-6,598997,-4,417647
-12,742886,-6,190457
5,614710,5,317757
0,403420,11,882905
-12,305839,1,347258
18,419420,6,098691
20,667898,-2,843152
-16,425613,18,390451
-5,666424,-4,601932
20,520288,-13,792203
-6,686924,21,322084
-8,642924,4,206756
12,099215,-5,247694
-12,972841,-6,594100
6,828208,3,175739
-8,655412,-14,693040
-11,922215,-12,950937
-15,568298,11,619595
-6,872786,-11,948907
-16,991898,18,576721
17,587912,-16,188963
14,765378,-4,508691
18,061647,7,244139
-14,202909,-10,398791
23,554367,-13,614635
10,826417,-12,640621
-17,055584,18,595394
-17,216600,10,316504
5,195682,7,385148
-8,188713,4,066480
-16,170809,6,354113
-0,134185,-7,218781
0,359098,7,066365
-2,191573,3,998677
-0,435400,-7,643059
-9,874614,1,166135
0,528026,7,212511
